"","Acinetobacter.01","Acinetobacter.02","Actinomyces.01","Actinomyces.02","Alicyclobacillus.01","Anaerococcus.01","Anaerococcus.02","Atopobium.01","Atopobium.02","Bifidobacterium.01","Bulleidia.01","Burkholderia.01","C.Betaproteobacteria.01","C.Betaproteobacteria.02","C.Gammaproteobacteria.01","C.Gammaproteobacteria.02","C.Gammaproteobacteria.03","C.Gammaproteobacteria.04","C.Gammaproteobacteria.05","C.Gammaproteobacteria.06","C.Gammaproteobacteria.07","C.Gammaproteobacteria.08","C.Gammaproteobacteria.09","C.Gammaproteobacteria.10","C.Gammaproteobacteria.11","Campylobacter.01","Capnocytophaga.01","Carnobacterium.01","Catonella.01","Chryseobacterium.01","Corynebacterium.01","Corynebacterium.02","Dolosigranulum.01","Dyella.01","Eubacterium.01","F.Alcaligenaceae.01","F.Burkholderiaceae.01","F.Burkholderiaceae.02","F.Carnobacteriaceae.01","F.Comamonadaceae.01","F.Comamonadaceae.02","F.Enterobacteriaceae.01","F.Erysipelotrichaceae.01","F.Neisseriaceae.01","F.Pasteurellaceae.01","F.Pasteurellaceae.02","F.Prevotellaceae.01","F.Prevotellaceae.02","F.Prevotellaceae.03","F.Pseudomonadaceae.01","F.Pseudomonadaceae.02","F.Rhodocyclaceae.01","F.Xanthomonadaceae.01","Fusobacterium.01","Fusobacterium.02","Gemella.01","Gp2.01","Gp2.02","Lactobacillus.01","Marinobacter.01","Megasphaera.01","Metascardovia.01","Microbacterium.01","Mogibacterium.01","Mycoplasma.01","Neisseria.01","O.Actinomycetales.01","O.Actinomycetales.02","O.Actinomycetales.03","O.Actinomycetales.04","O.Bacteroidales.01","O.Bacteroidales.02","O.Burkholderiales.01","O.Clostridiales.01","O.Clostridiales.02","O.Clostridiales.03","O.Clostridiales.04","O.Clostridiales.05","P.Firmicutes.01","Paracoccus.01","Parvimonas.01","Parvimonas.02","Parvimonas.03","Peptoniphilus.01","Peptoniphilus.02","Peptoniphilus.03","Peptostreptococcus.01","Porphyromonas.01","Porphyromonas.02","Porphyromonas.03","Prevotella.01","Prevotella.02","Prevotella.03","Prevotella.04","Prevotella.05","Prevotella.06","Prevotella.07","Prevotella.08","Prevotella.09","Prevotella.10","Propionibacterium.01","Propionibacterium.02","Pseudomonas.01","Pseudomonas.02","Ralstonia.01","Rhizobium.01","Selenomonas.01","Selenomonas.02","Selenomonas.03","Solobacterium.01","Staphylococcus.01","Streptococcus.01","Sulfuricurvum.01","Tannerella.01","TM7_genus_incertae_sedis.01","TM7_genus_incertae_sedis.02","TM7_genus_incertae_sedis.03","TM7_genus_incertae_sedis.04","TM7_genus_incertae_sedis.05","TM7_genus_incertae_sedis.06","TM7_genus_incertae_sedis.07","TM7_genus_incertae_sedis.08","Treponema.01","Tropheryma.01","Veillonella.01","Veillonella.02"
"Acinetobacter.01",2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.888058066368103,1.0,1.871748447418213,1.0,1.0,1.0,1.838010430335999,1.0,1.0,1.918671190738678,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.854483485221863,1.0,1.0,1.0,1.0,1.0,0.09539484977722201,1.0,1.825508058071136,1.893013000488281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.863321721553802,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Acinetobacter.02",1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.843571305274963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.842433512210846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.843571305274963,1.843571305274963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.817452073097229,1.870781660079956,1.0,1.0,1.0,1.0,1.0,1.0
"Actinomyces.01",1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.848633706569672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.910341739654541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.968106865882874,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9055159091949458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.800818622112274,1.0,1.0,1.0,1.0,1.834920406341553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17986315488815297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.804255425930023,1.0
"Actinomyces.02",1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.919003307819366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.813392996788025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.915402770042419,1.895506799221039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8927304148674011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Alicyclobacillus.01",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.83801805973053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Anaerococcus.01",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.9109692573547359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.916668832302094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Anaerococcus.02",1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.819985568523407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.81962376832962,1.0,1.0,1.0,1.0,1.0,1.0,1.894477963447571,1.976694643497467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.820539772510529,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Atopobium.01",1.0,1.0,1.848633706569672,1.919003307819366,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.830702900886536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.880552470684052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.94115674495697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.888542354106903,1.948920011520386,1.0,1.0,1.0,1.0,1.0,1.838641881942749,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Atopobium.02",1.0,1.0,1.0,1.0,1.0,1.9109692573547359,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.936178207397461,1.0,1.0,1.0,1.0,1.9135481715202332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9255630373954769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.89217072725296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.902246832847595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.827400207519531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8493019938468929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Bifidobacterium.01",1.0,1.843571305274963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.887249350547791,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8254518508911128,1.9782925248146062,1.996004104614258,1.0,1.0,1.0,1.0,1.0,1.0
"Bulleidia.01",1.0,1.0,1.0,1.0,1.0,1.0,1.819985568523407,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.904976546764374,1.0,1.0,1.0,1.0,1.0,1.0,1.961233556270599,1.908371806144714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.906288325786591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9671745300292969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.916587710380554,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Burkholderia.01",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.867902457714081,1.0,1.818963527679443,1.9241494536399841,1.0,1.0,1.8578832745552059,1.943266332149506,1.0,1.0,1.0,1.0,1.0,1.916711628437042,1.0,1.0,1.0,1.0,1.0,1.0,1.936601102352142,1.930776953697205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.957442462444305,1.887012124061584,1.0,1.0,1.943266332149506,1.952780544757843,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91704797744751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.954428434371948,1.0,1.0,1.983108460903168,1.840091705322266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"C.Betaproteobacteria.01",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.94511342048645,1.0,1.0,1.0,1.813863337039948,1.0,1.0,1.0,1.0,1.0
"C.Betaproteobacteria.02",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"C.Gammaproteobacteria.01",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.887249350547791,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.887249350547791,1.887249350547791,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9389864206314091,1.887866914272308,1.0,1.0,1.0,1.0,1.0,1.0
"C.Gammaproteobacteria.02",1.888058066368103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.803000867366791,1.861657381057739,1.0,1.0,1.0,1.909447133541107,1.940310776233673,1.804197907447815,1.906063735485077,1.0,1.0,1.0,1.0,1.836731016635895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.882494688034058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10853648185730003,1.0,1.905452609062195,1.929261684417725,1.0,1.0,1.0,1.0,1.0,1.0,1.826727271080017,1.0,1.0,1.0,1.804197907447815,1.861333847045898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.99327141046524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.802800834178925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
